                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1037,                0.54503,                 1.5016,                0.97207,                0.95028,                0.97636,                0.67889,                  1.161,                0.42007,                 1.6059,               0.008845,               0.008845,               0.008845
                     37,                 1.1009,                 0.5435,                  1.501,                 0.9777,                0.94579,                 0.9782,                0.68028,                 1.1601,                0.41814,                  1.606,               0.008812,               0.008812,               0.008812
                     38,                 1.0999,                0.53821,                 1.4961,                0.97583,                0.94698,                0.97755,                0.67795,                 1.1633,                 0.4173,                 1.6087,               0.008779,               0.008779,               0.008779
                     39,                 1.0979,                0.54098,                 1.4941,                0.97038,                0.95287,                0.97741,                 0.6795,                 1.1626,                0.41704,                 1.6076,               0.008746,               0.008746,               0.008746
                     40,                 1.0955,                0.53912,                 1.4969,                0.97268,                  0.947,                0.97663,                0.67884,                 1.1577,                0.41581,                 1.6032,               0.008713,               0.008713,               0.008713
                     41,                 1.0922,                0.53664,                 1.4848,                0.97304,                0.94812,                 0.9763,                0.67949,                 1.1543,                0.41513,                 1.5997,                0.00868,                0.00868,                0.00868
                     42,                 1.0892,                0.53546,                 1.4859,                0.97515,                0.94794,                0.97797,                0.68225,                 1.1521,                0.41473,                 1.5987,               0.008647,               0.008647,               0.008647
                     43,                 1.0876,                 0.5297,                 1.4906,                0.97687,                0.94794,                0.97798,                0.68148,                 1.1507,                0.41265,                 1.5983,               0.008614,               0.008614,               0.008614
                     44,                 1.0896,                0.53142,                 1.4825,                0.97544,                0.95012,                0.97655,                0.68339,                 1.1493,                 0.4138,                 1.5971,               0.008581,               0.008581,               0.008581
                     45,                 1.0882,                0.53022,                 1.4869,                0.97639,                0.95042,                0.97928,                0.68483,                 1.1481,                0.41172,                 1.5959,               0.008548,               0.008548,               0.008548
                     46,                 1.0828,                0.52371,                 1.4879,                0.97505,                0.95302,                0.97973,                0.68636,                 1.1454,                0.41055,                 1.5947,               0.008515,               0.008515,               0.008515
                     47,                  1.077,                0.52268,                  1.474,                0.97409,                0.95222,                0.97966,                0.68573,                 1.1445,                0.40951,                 1.5941,               0.008482,               0.008482,               0.008482
                     48,                 1.0788,                0.52431,                 1.4801,                0.97379,                0.95169,                0.97953,                0.68511,                  1.145,                0.40896,                 1.5946,               0.008449,               0.008449,               0.008449
